 #Atom's Jk - pairs::
 #Site: AtomIndex NumJ's
 #NeighborIndex TypeJ J_value
144
0 54
1 1 -8.4469027e-05
2 1 0.000705997679
3 1 0.000705997679
6 1 -8.5402386e-05
7 1 3.6260177e-05
9 1 -8.4469027e-05
12 1 0.000705997679
13 1 0.000705997679
15 1 3.6260177e-05
16 1 0.000834399476
18 1 5.3432551e-05
23 1 -0.000116216873
28 1 5.3432551e-05
31 1 -0.000116216873
32 1 0.000834399476
33 1 -8.4469027e-05
34 1 5.3432551e-05
35 1 0.000705997679
38 1 -8.5402386e-05
39 1 -0.000116216873
41 1 -8.4469027e-05
44 1 5.3432551e-05
45 1 0.000705997679
47 1 -0.000116216873
48 1 0.000834399476
51 1 5.3432551e-05
55 1 -0.000116216873
61 1 5.3432551e-05
63 1 -0.000116216873
64 1 -0.000719242969
80 1 -0.000719242969
83 1 5.3432551e-05
93 1 5.3432551e-05
96 1 0.000834399476
97 1 -8.4469027e-05
98 1 0.000705997679
99 1 5.3432551e-05
102 1 -8.5402386e-05
103 1 -0.000116216873
105 1 -8.4469027e-05
108 1 0.000705997679
109 1 5.3432551e-05
111 1 -0.000116216873
112 1 -0.000719242969
114 1 5.3432551e-05
124 1 5.3432551e-05
128 1 -0.000719242969
129 1 -8.4469027e-05
130 1 5.3432551e-05
131 1 5.3432551e-05
134 1 -8.5402386e-05
137 1 -8.4469027e-05
140 1 5.3432551e-05
141 1 5.3432551e-05
1 54
0 1 -8.4469027e-05
2 1 0.000705997679
3 1 0.000705997679
4 1 0.000705997679
5 1 0.000705997679
6 1 3.6260177e-05
7 1 -8.5402386e-05
8 1 -8.4469027e-05
14 1 3.6260177e-05
16 1 -8.4469027e-05
17 1 0.000834399476
18 1 0.000705997679
19 1 5.3432551e-05
20 1 0.000705997679
21 1 5.3432551e-05
22 1 -0.000116216873
23 1 -8.5402386e-05
24 1 -8.4469027e-05
30 1 -0.000116216873
33 1 0.000834399476
35 1 5.3432551e-05
37 1 5.3432551e-05
38 1 -0.000116216873
46 1 -0.000116216873
48 1 -8.4469027e-05
49 1 0.000834399476
50 1 5.3432551e-05
51 1 0.000705997679
52 1 5.3432551e-05
53 1 0.000705997679
54 1 -0.000116216873
55 1 -8.5402386e-05
56 1 -8.4469027e-05
62 1 -0.000116216873
64 1 -8.4469027e-05
65 1 -0.000719242969
66 1 5.3432551e-05
67 1 5.3432551e-05
68 1 5.3432551e-05
69 1 5.3432551e-05
71 1 -8.5402386e-05
72 1 -8.4469027e-05
81 1 -0.000719242969
83 1 5.3432551e-05
85 1 5.3432551e-05
97 1 0.000834399476
98 1 5.3432551e-05
100 1 5.3432551e-05
102 1 -0.000116216873
110 1 -0.000116216873
113 1 -0.000719242969
114 1 5.3432551e-05
116 1 5.3432551e-05
129 1 -0.000719242969
2 54
0 1 0.000705997679
1 1 0.000705997679
3 1 8.1858245e-05
4 1 0.000412011159
5 1 -3.4725629e-05
6 1 2.1108261e-05
7 1 2.1108261e-05
12 1 0.000412011159
13 1 -3.4725629e-05
16 1 5.3432551e-05
18 1 3.8032073e-05
20 1 -6.9715716e-05
23 1 4.3383241e-05
28 1 -6.9715716e-05
32 1 5.3432551e-05
33 1 0.000705997679
34 1 3.8032073e-05
35 1 8.1858245e-05
36 1 -6.9715716e-05
37 1 -3.4725629e-05
38 1 2.1108261e-05
39 1 4.3383241e-05
44 1 -6.9715716e-05
45 1 -3.4725629e-05
48 1 0.000705997679
49 1 5.3432551e-05
50 1 3.8032073e-05
51 1 8.1858245e-05
52 1 -6.9715716e-05
53 1 -3.4725629e-05
54 1 4.3383241e-05
55 1 2.1108261e-05
60 1 -6.9715716e-05
61 1 -3.4725629e-05
64 1 5.3432551e-05
66 1 0.000110537281
71 1 4.3383241e-05
80 1 5.3432551e-05
81 1 5.3432551e-05
82 1 0.000110537281
83 1 8.1858245e-05
85 1 -3.4725629e-05
86 1 4.3383241e-05
87 1 4.3383241e-05
93 1 -3.4725629e-05
97 1 5.3432551e-05
98 1 3.8032073e-05
100 1 -6.9715716e-05
102 1 4.3383241e-05
108 1 -6.9715716e-05
114 1 0.000110537281
129 1 5.3432551e-05
130 1 0.000110537281
134 1 4.3383241e-05
3 54
0 1 0.000705997679
1 1 0.000705997679
2 1 8.1858245e-05
4 1 -3.4725629e-05
5 1 0.000412011159
6 1 2.1108261e-05
7 1 2.1108261e-05
12 1 -3.4725629e-05
13 1 0.000412011159
16 1 0.000705997679
17 1 5.3432551e-05
18 1 8.1858245e-05
19 1 3.8032073e-05
20 1 -3.4725629e-05
21 1 -6.9715716e-05
22 1 4.3383241e-05
23 1 2.1108261e-05
28 1 -3.4725629e-05
29 1 -6.9715716e-05
33 1 5.3432551e-05
35 1 3.8032073e-05
37 1 -6.9715716e-05
38 1 4.3383241e-05
45 1 -6.9715716e-05
48 1 5.3432551e-05
51 1 3.8032073e-05
53 1 -6.9715716e-05
55 1 4.3383241e-05
61 1 -6.9715716e-05
64 1 5.3432551e-05
67 1 0.000110537281
71 1 4.3383241e-05
83 1 0.000110537281
96 1 5.3432551e-05
97 1 0.000705997679
98 1 8.1858245e-05
99 1 3.8032073e-05
100 1 -3.4725629e-05
101 1 -6.9715716e-05
102 1 2.1108261e-05
103 1 4.3383241e-05
108 1 -3.4725629e-05
109 1 -6.9715716e-05
112 1 5.3432551e-05
113 1 5.3432551e-05
114 1 8.1858245e-05
115 1 0.000110537281
116 1 -3.4725629e-05
118 1 4.3383241e-05
119 1 4.3383241e-05
124 1 -3.4725629e-05
129 1 5.3432551e-05
131 1 0.000110537281
134 1 4.3383241e-05
4 54
1 1 0.000705997679
2 1 0.000412011159
3 1 -3.4725629e-05
5 1 8.1858245e-05
7 1 2.1108261e-05
8 1 0.000705997679
10 1 0.000412011159
11 1 -3.4725629e-05
14 1 2.1108261e-05
18 1 -6.9715716e-05
20 1 3.8032073e-05
23 1 4.3383241e-05
24 1 5.3432551e-05
26 1 -6.9715716e-05
33 1 0.000705997679
34 1 -6.9715716e-05
35 1 -3.4725629e-05
36 1 3.8032073e-05
37 1 8.1858245e-05
39 1 4.3383241e-05
40 1 5.3432551e-05
42 1 -6.9715716e-05
43 1 -3.4725629e-05
46 1 2.1108261e-05
49 1 5.3432551e-05
50 1 -6.9715716e-05
51 1 -3.4725629e-05
52 1 3.8032073e-05
53 1 8.1858245e-05
55 1 2.1108261e-05
56 1 0.000705997679
58 1 -6.9715716e-05
59 1 -3.4725629e-05
62 1 4.3383241e-05
68 1 0.000110537281
71 1 4.3383241e-05
72 1 5.3432551e-05
81 1 5.3432551e-05
83 1 -3.4725629e-05
84 1 0.000110537281
85 1 8.1858245e-05
87 1 4.3383241e-05
88 1 5.3432551e-05
91 1 -3.4725629e-05
94 1 4.3383241e-05
97 1 5.3432551e-05
98 1 -6.9715716e-05
100 1 3.8032073e-05
106 1 -6.9715716e-05
110 1 4.3383241e-05
116 1 0.000110537281
129 1 5.3432551e-05
132 1 0.000110537281
142 1 4.3383241e-05
5 54
1 1 0.000705997679
2 1 -3.4725629e-05
3 1 0.000412011159
4 1 8.1858245e-05
7 1 2.1108261e-05
8 1 0.000705997679
10 1 -3.4725629e-05
11 1 0.000412011159
14 1 2.1108261e-05
17 1 5.3432551e-05
18 1 -3.4725629e-05
19 1 -6.9715716e-05
20 1 8.1858245e-05
21 1 3.8032073e-05
23 1 2.1108261e-05
24 1 0.000705997679
26 1 -3.4725629e-05
27 1 -6.9715716e-05
30 1 4.3383241e-05
33 1 5.3432551e-05
35 1 -6.9715716e-05
37 1 3.8032073e-05
43 1 -6.9715716e-05
46 1 4.3383241e-05
51 1 -6.9715716e-05
53 1 3.8032073e-05
55 1 4.3383241e-05
56 1 5.3432551e-05
59 1 -6.9715716e-05
69 1 0.000110537281
71 1 4.3383241e-05
72 1 5.3432551e-05
85 1 0.000110537281
97 1 0.000705997679
98 1 -3.4725629e-05
99 1 -6.9715716e-05
100 1 8.1858245e-05
101 1 3.8032073e-05
103 1 4.3383241e-05
104 1 5.3432551e-05
106 1 -3.4725629e-05
107 1 -6.9715716e-05
110 1 2.1108261e-05
113 1 5.3432551e-05
114 1 -3.4725629e-05
116 1 8.1858245e-05
117 1 0.000110537281
119 1 4.3383241e-05
120 1 5.3432551e-05
122 1 -3.4725629e-05
126 1 4.3383241e-05
129 1 5.3432551e-05
133 1 0.000110537281
142 1 4.3383241e-05
6 54
0 1 -8.5402386e-05
1 1 3.6260177e-05
2 1 2.1108261e-05
3 1 2.1108261e-05
7 1 7.4756566e-05
9 1 3.6260177e-05
12 1 2.1108261e-05
13 1 2.1108261e-05
15 1 7.4756566e-05
16 1 -8.5402386e-05
17 1 -0.000116216873
18 1 2.1108261e-05
19 1 4.3383241e-05
22 1 0.000207919997
23 1 7.4756566e-05
25 1 -0.000116216873
28 1 2.1108261e-05
29 1 4.3383241e-05
31 1 7.4756566e-05
33 1 -0.000116216873
35 1 4.3383241e-05
38 1 0.000207919997
41 1 -0.000116216873
45 1 4.3383241e-05
48 1 -8.5402386e-05
49 1 -0.000116216873
50 1 4.3383241e-05
51 1 2.1108261e-05
54 1 0.000207919997
55 1 7.4756566e-05
57 1 -0.000116216873
60 1 4.3383241e-05
61 1 2.1108261e-05
63 1 7.4756566e-05
64 1 -8.5402386e-05
66 1 4.3383241e-05
67 1 4.3383241e-05
70 1 0.000145165381
71 1 7.4756566e-05
76 1 4.3383241e-05
77 1 4.3383241e-05
79 1 7.4756566e-05
83 1 4.3383241e-05
86 1 0.000145165381
93 1 4.3383241e-05
97 1 -0.000116216873
98 1 4.3383241e-05
102 1 0.000207919997
105 1 -0.000116216873
108 1 4.3383241e-05
114 1 4.3383241e-05
118 1 0.000145165381
124 1 4.3383241e-05
134 1 0.000145165381
7 54
0 1 3.6260177e-05
1 1 -8.5402386e-05
2 1 2.1108261e-05
3 1 2.1108261e-05
4 1 2.1108261e-05
5 1 2.1108261e-05
6 1 7.4756566e-05
8 1 3.6260177e-05
14 1 7.4756566e-05
16 1 -0.000116216873
18 1 4.3383241e-05
20 1 4.3383241e-05
23 1 0.000207919997
24 1 -0.000116216873
32 1 -0.000116216873
33 1 -8.5402386e-05
34 1 4.3383241e-05
35 1 2.1108261e-05
36 1 4.3383241e-05
37 1 2.1108261e-05
38 1 7.4756566e-05
39 1 0.000207919997
40 1 -0.000116216873
46 1 7.4756566e-05
48 1 -0.000116216873
51 1 4.3383241e-05
53 1 4.3383241e-05
55 1 0.000207919997
56 1 -0.000116216873
71 1 0.000145165381
83 1 4.3383241e-05
85 1 4.3383241e-05
87 1 0.000145165381
96 1 -0.000116216873
97 1 -8.5402386e-05
98 1 2.1108261e-05
99 1 4.3383241e-05
100 1 2.1108261e-05
101 1 4.3383241e-05
102 1 7.4756566e-05
103 1 0.000207919997
104 1 -0.000116216873
110 1 7.4756566e-05
114 1 4.3383241e-05
116 1 4.3383241e-05
119 1 0.000145165381
129 1 -8.5402386e-05
130 1 4.3383241e-05
131 1 4.3383241e-05
132 1 4.3383241e-05
133 1 4.3383241e-05
134 1 7.4756566e-05
135 1 0.000145165381
142 1 7.4756566e-05
8 54
1 1 -8.4469027e-05
4 1 0.000705997679
5 1 0.000705997679
7 1 3.6260177e-05
9 1 -8.4469027e-05
10 1 0.000705997679
11 1 0.000705997679
14 1 -8.5402386e-05
15 1 3.6260177e-05
20 1 5.3432551e-05
23 1 -0.000116216873
24 1 0.000834399476
26 1 5.3432551e-05
31 1 -0.000116216873
33 1 -8.4469027e-05
36 1 5.3432551e-05
37 1 0.000705997679
39 1 -0.000116216873
40 1 0.000834399476
41 1 -8.4469027e-05
42 1 5.3432551e-05
43 1 0.000705997679
46 1 -8.5402386e-05
47 1 -0.000116216873
53 1 5.3432551e-05
55 1 -0.000116216873
56 1 0.000834399476
59 1 5.3432551e-05
63 1 -0.000116216873
72 1 -0.000719242969
85 1 5.3432551e-05
88 1 -0.000719242969
91 1 5.3432551e-05
97 1 -8.4469027e-05
100 1 0.000705997679
101 1 5.3432551e-05
103 1 -0.000116216873
104 1 0.000834399476
105 1 -8.4469027e-05
106 1 0.000705997679
107 1 5.3432551e-05
110 1 -8.5402386e-05
111 1 -0.000116216873
116 1 5.3432551e-05
120 1 -0.000719242969
122 1 5.3432551e-05
129 1 -8.4469027e-05
132 1 5.3432551e-05
133 1 5.3432551e-05
136 1 -0.000719242969
137 1 -8.4469027e-05
138 1 5.3432551e-05
139 1 5.3432551e-05
142 1 -8.5402386e-05
9 54
0 1 -8.4469027e-05
6 1 3.6260177e-05
8 1 -8.4469027e-05
10 1 0.000705997679
11 1 0.000705997679
12 1 0.000705997679
13 1 0.000705997679
14 1 3.6260177e-05
15 1 -8.5402386e-05
16 1 -8.4469027e-05
22 1 -0.000116216873
24 1 -8.4469027e-05
25 1 0.000834399476
26 1 0.000705997679
27 1 5.3432551e-05
28 1 0.000705997679
29 1 5.3432551e-05
30 1 -0.000116216873
31 1 -8.5402386e-05
38 1 -0.000116216873
41 1 0.000834399476
43 1 5.3432551e-05
45 1 5.3432551e-05
46 1 -0.000116216873
48 1 -8.4469027e-05
54 1 -0.000116216873
56 1 -8.4469027e-05
57 1 0.000834399476
58 1 5.3432551e-05
59 1 0.000705997679
60 1 5.3432551e-05
61 1 0.000705997679
62 1 -0.000116216873
63 1 -8.5402386e-05
64 1 -8.4469027e-05
72 1 -8.4469027e-05
73 1 -0.000719242969
74 1 5.3432551e-05
75 1 5.3432551e-05
76 1 5.3432551e-05
77 1 5.3432551e-05
79 1 -8.5402386e-05
89 1 -0.000719242969
91 1 5.3432551e-05
93 1 5.3432551e-05
102 1 -0.000116216873
105 1 0.000834399476
106 1 5.3432551e-05
108 1 5.3432551e-05
110 1 -0.000116216873
121 1 -0.000719242969
122 1 5.3432551e-05
124 1 5.3432551e-05
137 1 -0.000719242969
10 54
4 1 0.000412011159
5 1 -3.4725629e-05
8 1 0.000705997679
9 1 0.000705997679
11 1 8.1858245e-05
12 1 0.000412011159
13 1 -3.4725629e-05
14 1 2.1108261e-05
15 1 2.1108261e-05
20 1 -6.9715716e-05
24 1 5.3432551e-05
26 1 3.8032073e-05
28 1 -6.9715716e-05
31 1 4.3383241e-05
36 1 -6.9715716e-05
37 1 -3.4725629e-05
40 1 5.3432551e-05
41 1 0.000705997679
42 1 3.8032073e-05
43 1 8.1858245e-05
44 1 -6.9715716e-05
45 1 -3.4725629e-05
46 1 2.1108261e-05
47 1 4.3383241e-05
52 1 -6.9715716e-05
53 1 -3.4725629e-05
56 1 0.000705997679
57 1 5.3432551e-05
58 1 3.8032073e-05
59 1 8.1858245e-05
60 1 -6.9715716e-05
61 1 -3.4725629e-05
62 1 4.3383241e-05
63 1 2.1108261e-05
72 1 5.3432551e-05
74 1 0.000110537281
79 1 4.3383241e-05
85 1 -3.4725629e-05
88 1 5.3432551e-05
89 1 5.3432551e-05
90 1 0.000110537281
91 1 8.1858245e-05
93 1 -3.4725629e-05
94 1 4.3383241e-05
95 1 4.3383241e-05
100 1 -6.9715716e-05
105 1 5.3432551e-05
106 1 3.8032073e-05
108 1 -6.9715716e-05
110 1 4.3383241e-05
122 1 0.000110537281
137 1 5.3432551e-05
138 1 0.000110537281
142 1 4.3383241e-05
11 54
4 1 -3.4725629e-05
5 1 0.000412011159
8 1 0.000705997679
9 1 0.000705997679
10 1 8.1858245e-05
12 1 -3.4725629e-05
13 1 0.000412011159
14 1 2.1108261e-05
15 1 2.1108261e-05
20 1 -3.4725629e-05
21 1 -6.9715716e-05
24 1 0.000705997679
